+------+-------------+----------+
| id   | exercise_id | phase_id |
| 3132 |         636 |        5 |
| 3131 |         635 |        5 |
| 1514 |         222 |        1 |
| 1515 |         222 |        2 |
| 1519 |         223 |        1 |
| 1520 |         223 |        2 |
| 1521 |         223 |        3 |
| 1528 |         225 |        5 |
| 1533 |         226 |        5 |
| 3118 |         632 |        2 |
| 3119 |         632 |        3 |
| 2240 |         286 |        2 |
| 1538 |         227 |        5 |
| 2214 |         288 |        4 |
| 2213 |         288 |        3 |
| 1541 |         228 |        3 |
| 1542 |         228 |        4 |
| 1543 |         228 |        5 |
| 2238 |         279 |        5 |
| 2234 |         277 |        5 |
| 2233 |         277 |        3 |
| 1548 |         229 |        5 |
| 1550 |         230 |        2 |
| 1551 |         230 |        3 |
| 1552 |         230 |        4 |
| 1553 |         230 |        5 |
| 1555 |         231 |        2 |
| 1556 |         231 |        3 |
| 1557 |         231 |        4 |
| 1558 |         231 |        5 |
| 1560 |         232 |        2 |
| 1561 |         232 |        3 |
| 1562 |         232 |        4 |
| 1563 |         232 |        5 |
| 2250 |         309 |        3 |
| 1565 |         233 |        2 |
| 1566 |         233 |        3 |
| 1567 |         233 |        4 |
| 1568 |         233 |        5 |
| 1570 |         234 |        2 |
| 1571 |         234 |        3 |
| 1572 |         234 |        4 |
| 1573 |         234 |        5 |
| 1575 |         235 |        2 |
| 1576 |         235 |        3 |
| 1577 |         235 |        4 |
| 1578 |         235 |        5 |
| 2323 |         376 |        5 |
| 2322 |         376 |        4 |
| 2321 |         376 |        3 |
| 1582 |         236 |        4 |
| 1583 |         236 |        5 |
| 2278 |         237 |        3 |
| 1585 |         237 |        2 |
| 2280 |         238 |        4 |
| 2279 |         238 |        3 |
| 1590 |         238 |        2 |
| 1592 |         238 |        5 |
| 2281 |         239 |        3 |
| 1594 |         239 |        2 |
| 1596 |         239 |        5 |
| 2283 |         240 |        3 |
| 1598 |         240 |        2 |
| 1601 |         240 |        5 |
| 1602 |         241 |        5 |
| 1604 |         243 |        5 |
| 1605 |         244 |        5 |
| 1606 |         245 |        5 |
| 1607 |         246 |        5 |
| 1608 |         247 |        5 |
| 1609 |         248 |        5 |
| 1610 |         249 |        5 |
| 1611 |         250 |        5 |
| 1612 |         251 |        5 |
| 1613 |         252 |        5 |
| 1614 |         253 |        5 |
| 1615 |         254 |        5 |
| 1616 |         255 |        5 |
| 1617 |         256 |        5 |
| 1618 |         257 |        5 |
| 3136 |         640 |        5 |
| 3135 |         639 |        5 |
| 3055 |         611 |        5 |
| 1630 |         261 |        5 |
| 1631 |         262 |        5 |
| 3143 |         647 |        2 |
| 2027 |         348 |        4 |
| 2026 |         348 |        3 |
| 2025 |         348 |        2 |
| 2024 |         348 |        1 |
| 1648 |         267 |        2 |
| 1649 |         267 |        3 |
| 1650 |         267 |        4 |
| 1651 |         267 |        5 |
| 1653 |         268 |        2 |
| 1654 |         268 |        3 |
| 1655 |         268 |        4 |
| 1656 |         268 |        5 |
| 2333 |         378 |        2 |
| 1658 |         269 |        2 |
| 1659 |         269 |        3 |
| 1660 |         269 |        4 |
| 1661 |         269 |        5 |
| 1663 |         270 |        2 |
| 1664 |         270 |        3 |
| 1665 |         270 |        4 |
| 1666 |         270 |        5 |
| 1669 |         271 |        3 |
| 1673 |         272 |        2 |
| 1681 |         273 |        5 |
| 1688 |         275 |        2 |
| 1689 |         275 |        3 |
| 1693 |         276 |        2 |
| 1694 |         276 |        3 |
| 1697 |         277 |        1 |
| 1698 |         277 |        2 |
| 1700 |         277 |        4 |
| 2237 |         279 |        4 |
| 1707 |         279 |        2 |
| 1708 |         279 |        3 |
| 2320 |         376 |        2 |
| 2319 |         219 |        1 |
| 2318 |         375 |        5 |
| 1716 |         281 |        1 |
| 1717 |         281 |        2 |
| 1719 |         281 |        4 |
| 1720 |         281 |        5 |
| 1721 |         282 |        1 |
| 1722 |         282 |        2 |
| 1724 |         282 |        4 |
| 1725 |         282 |        5 |
| 1726 |         283 |        1 |
| 1731 |         284 |        5 |
| 2079 |         359 |        5 |
| 2078 |         359 |        4 |
| 2077 |         359 |        3 |
| 2076 |         359 |        2 |
| 2261 |         250 |        4 |
| 1739 |         286 |        3 |
| 2073 |          67 |        1 |
| 1747 |         288 |        5 |
| 1749 |         289 |        2 |
| 1754 |         290 |        2 |
| 1755 |         290 |        3 |
| 1758 |         291 |        2 |
| 1759 |         291 |        3 |
| 1763 |         292 |        2 |
| 1764 |         292 |        3 |
| 1767 |         293 |        2 |
| 1768 |         293 |        4 |
| 1771 |         294 |        2 |
| 1772 |         294 |        3 |
| 1774 |         295 |        1 |
| 1775 |         295 |        2 |
| 1779 |         296 |        1 |
| 1780 |         296 |        2 |
| 2202 |         297 |        3 |
| 2200 |         298 |        3 |
