+-----+-------------+----------------+
| id  | exercise_id | musclegroup_id |
| 549 |         527 |              2 |
| 550 |         527 |              1 |
| 551 |         528 |              2 |
| 552 |         528 |              1 |
| 553 |         529 |              2 |
| 554 |         530 |              2 |
| 555 |         530 |              1 |
| 557 |         531 |              2 |
| 558 |         531 |              1 |
| 559 |         532 |             21 |
| 560 |         532 |             17 |
| 561 |         533 |             14 |
| 562 |         534 |             14 |
| 563 |         535 |             15 |
| 564 |         536 |             15 |
| 565 |         537 |             15 |
| 566 |         538 |             15 |
| 567 |         539 |             16 |
| 568 |         540 |             16 |
| 569 |         541 |             18 |
| 570 |         555 |             26 |
| 571 |         558 |             15 |
| 572 |         559 |             26 |
| 573 |         559 |             25 |
| 574 |         560 |             26 |
| 575 |         560 |             25 |
| 576 |         561 |             26 |
| 577 |         561 |             25 |
| 580 |         563 |             26 |
| 581 |         563 |             25 |
| 582 |         564 |              2 |
| 583 |         564 |              1 |
| 584 |         565 |             12 |
| 586 |         567 |              2 |
| 587 |         568 |              2 |
| 588 |         569 |             16 |
| 592 |         584 |             26 |
| 593 |         585 |              2 |
| 594 |         588 |             21 |
| 595 |         588 |             17 |
| 596 |         588 |             18 |
| 597 |         589 |             21 |
| 598 |         589 |             17 |
| 599 |         589 |             18 |
| 600 |         590 |             21 |
| 601 |         590 |             17 |
| 602 |         590 |             18 |
| 603 |         591 |             21 |
| 604 |         591 |             17 |
| 605 |         591 |             18 |
| 606 |         592 |             21 |
| 607 |         592 |             17 |
| 608 |         592 |             18 |
| 609 |          42 |             26 |
| 610 |          42 |             25 |
| 613 |         595 |             21 |
| 614 |         595 |             17 |
| 615 |         595 |             18 |
| 616 |         596 |             19 |
| 617 |         596 |             21 |
| 618 |         596 |             17 |
| 619 |         596 |             18 |
| 620 |         597 |             21 |
| 621 |         597 |             17 |
| 622 |         597 |             18 |
| 623 |         613 |             11 |
| 624 |         613 |             12 |
| 629 |         616 |             18 |
| 630 |         622 |             21 |
| 631 |         622 |             17 |
| 632 |         622 |              3 |
| 633 |         622 |             18 |
| 634 |         506 |              3 |
| 635 |         623 |             11 |
| 636 |         623 |             21 |
| 637 |         623 |             17 |
| 638 |         623 |              3 |
| 639 |         623 |             18 |
| 640 |         624 |             21 |
| 641 |         624 |             17 |
| 642 |         624 |              3 |
